origin_date,location,regime
2016-11-05,HHS Region 7,growing
2016-11-05,HHS Region 8,growing
2016-11-05,HHS Region 9,growing
2016-11-05,US National,growing
2016-11-12,HHS Region 1,growing
2016-11-12,HHS Region 10,growing
2016-11-12,HHS Region 2,growing
2016-11-12,HHS Region 3,growing
2016-11-12,HHS Region 4,growing
2016-11-12,HHS Region 5,growing
2016-11-12,HHS Region 6,growing
2016-11-12,HHS Region 7,growing
2016-11-12,HHS Region 8,growing
2016-11-12,HHS Region 9,growing
2016-11-12,US National,growing
2016-11-19,HHS Region 1,growing
2016-11-19,HHS Region 10,growing
2016-11-19,HHS Region 2,growing
2016-11-19,HHS Region 3,growing
2016-11-19,HHS Region 4,growing
2016-11-19,HHS Region 5,growing
2016-11-19,HHS Region 6,growing
2016-11-19,HHS Region 7,growing
2016-11-19,HHS Region 8,growing
2016-11-19,HHS Region 9,growing
2016-11-19,US National,growing
2016-11-26,HHS Region 1,growing
2016-11-26,HHS Region 10,growing
2016-11-26,HHS Region 2,growing
2016-11-26,HHS Region 3,growing
2016-11-26,HHS Region 4,growing
2016-11-26,HHS Region 5,growing
2016-11-26,HHS Region 6,growing
2016-11-26,HHS Region 7,growing
2016-11-26,HHS Region 8,growing
2016-11-26,HHS Region 9,growing
2016-11-26,US National,growing
2016-12-03,HHS Region 1,declining
2016-12-03,HHS Region 10,growing
2016-12-03,HHS Region 2,growing
2016-12-03,HHS Region 3,growing
2016-12-03,HHS Region 4,growing
2016-12-03,HHS Region 5,growing
2016-12-03,HHS Region 6,declining
2016-12-03,HHS Region 7,growing
2016-12-03,HHS Region 8,growing
2016-12-03,HHS Region 9,growing
2016-12-03,US National,growing
2016-12-10,HHS Region 1,growing
2016-12-10,HHS Region 10,declining
2016-12-10,HHS Region 2,growing
2016-12-10,HHS Region 3,growing
2016-12-10,HHS Region 4,growing
2016-12-10,HHS Region 5,growing
2016-12-10,HHS Region 6,growing
2016-12-10,HHS Region 7,growing
2016-12-10,HHS Region 8,growing
2016-12-10,HHS Region 9,growing
2016-12-10,US National,growing
2016-12-17,HHS Region 1,growing
2016-12-17,HHS Region 10,growing
2016-12-17,HHS Region 2,growing
2016-12-17,HHS Region 3,growing
2016-12-17,HHS Region 4,growing
